Nombre,Número de reseñas,Número de fotos,Puntuación,Fecha,Comentario,Comida,Servicio,Ambiente,Platos recomendados
Aylen Agustina,,,5,24/02/2026,Nadia y nerea,5,5,5,
Luciana Gaitan,,,5,24/02/2026,Antonella y Alexis,5,5,5,
Lucas Fava,,,5,24/02/2026,Ivana y Cristian son los mejores del mundo! Nos atendieron con la mejor de las ondas! Que bueno que te reciban con una sonrisa !,3,5,3,
Rocio Roca,,,5,24/02/2026,Ivana y Cristian unos genios! Nos atendieron de 10. Súper recomendable el lugar y la atención,5,5,5,
Gastón Ostorero,,,5,24/02/2026,"Nerea, Nadia, Aldana y Pacheco un 10 para cada uno.",5,5,4,
BIBIANA UZ,,,5,24/02/2026,Nerea & Pelusa,4,4,4,
Ernesto Gómez Moreno,,,4,24/02/2026,Nos encanta fuimos atendidos por milagros y fede y estamos muy conformes 10/10,4,5,5,
Veronica,,,5,24/02/2026,"Excelente servicio de :
MILAGROS Y FEDE !!
SON MUY BUENOS 👍 😊",5,5,5,
Sergio Germano,,,5,24/02/2026,"GadieL muy amable y atento!!!
Agustina lo mismo.
Muy recomendable",5,5,5,
Sabrina Barrionuevo,,,5,24/02/2026,Agustina y Gabiel muy buena atencion,5,5,4,
Santiago Urquiza,,,4,24/02/2026,"Muy rico todo, súper recomendable!!",4,5,4,
rolly bautista,,,5,24/02/2026,"Pacheco, Nereia y Nadia brindaron el mejor servicio posible, un lugar maravilloso, la fila era súper rápida, volvería mil veces.",5,5,5,
Yasmin Saba,,,5,24/02/2026,"Daniel, Nerea y Nadia nos atendieron, y el servicio fue excelente; todos fueron muy amables y atentos. ¡Rara vez he recibido un trato así en otro lugar! Quedamos muy satisfechos con la cena.",5,5,5,
Manuela Ruwer Amaral,,,5,24/02/2026,Muy buena atención de Beto y Claudia Guerrin no falla,5,5,5,
Fabian Romero,,,5,24/02/2026,Excelente servicio de Milagros y Mario!,5,5,5,
Agustín Spángaro,,,5,24/02/2026,Antonella y Alexis,5,5,5,
paula munafo,,,5,24/02/2026,Gracias Antonella y Alexis. Super rápidos!!,5,5,5,
Francisco Fernandez,,,5,24/02/2026,Espectacular como siempre!!! Beto y Claudia muy atentos!! De lo mejor en pizzas!!!,5,5,5,
Marie Alberich,,,5,24/02/2026,Antonella y Alexis,5,5,5,
Norma VIDELA,,,5,24/02/2026,Antonella y Alexis UNOS DIVINOS!!!,5,5,5,
Johana Toriggino,,,5,24/02/2026,"Fuimos muy bien atendidos por Daniel y Agustina, todo perfecto.",5,5,5,
Ampi Schmidt,,,5,24/02/2026,Trinidad y Erwing! Unos capos!,5,4,5,
Gabriela Oñativia,,,5,24/02/2026,Trinidad y Lautaro realmente nos brindaron excelente atención,5,5,5,
Franco Pannunzio,,,5,24/02/2026,"Todo es espectacular. Las pizzas. El postre.
Felicitaciones a trinidad y Lautaro (un genio con su memoria).",5,5,5,
Cristian Tournier,,,5,24/02/2026,Beto y Claudia excelente atención!,5,5,5,
valeria haurigot,,,5,24/02/2026,"Beto y Claudia unos fenómenos. La pizza... inigualable. El ambiente, un lujo.
¡Hay que vivirlo!",5,5,5,
Pablo Socca,,,5,24/02/2026,Excelente trinidad y erwin,5,5,5,
Luciana Figueroa,,,5,24/02/2026,amo guerrín pero más amo a trinidad y diego que me atendieron esta noche y se sacaron un total de 10 puntos. siempre vengo con amigos y familia y la pizza y servicio nunca decepciona. todos los ambientes con los que cuenta el local son una belleza y me encanta volver. recomiendo 100%,5,5,5,
Florencia Calleja,,,5,24/02/2026,El lugar es un lujo! Trinidad y Herwin excelentes,5,5,5,
Victoria Diaz Minnucci,,,5,24/02/2026,"Muy buena atención, trinidad y Erwin muy buenos",5,5,5,
Amaranta Maldonado,,,5,24/02/2026,"Excelente atencion, sobre todo de Alexis y Antonela. Muy genios",5,5,5,
Alejandro Gustavo Robaina,,,5,24/02/2026,Muy buena la atencion de alexis y antonella,5,5,5,
Sofia Secoff,,,5,24/02/2026,Muy bueno el servicio de alexia y antonella,5,5,5,
Catalina Menéndez,,,5,24/02/2026,La mejor pizza de este sistema solar..chequeado.,5,5,5,
Victoria Gamarra,,,5,24/02/2026,Alexis y antonela los mejores,5,5,5,
Tomás Ellena,,,5,24/02/2026,Riquísimas!!!! Muy buena atención por Antonela y Alexis!!!,5,5,5,
Cesar Masachessi,,,5,24/02/2026,"Excelente ubicación sobre la calle Corrientes.
Restaurante emblemático, con casi 100 años de historia.
La pizza esta buena, variedad de sabores aunque el faina no lo recomiendo.
Siempre hay fila larga sobre la vereda tanto para comer ahi en mesa como para comer parado en la barra o llevar, recomiendo ir con tiempo y paciencia",5,5,5,
joaquin sanches,,,5,24/02/2026,Nos atendieron Antonella y alexis. Todo muy piola.,5,5,5,
alejandro peñaloza,,,5,24/02/2026,Nos atendieron alexis y antiniebla. Excelente atención! Muy piolas !,5,5,5,
