Nombre,Número de reseñas,Número de fotos,Puntuación,Fecha,Comentario,Comida,Servicio,Ambiente,Platos recomendados
JOSE MIGUEL ASTURIAS CALDERON,,,5,05/11/2025,"Conocí este lugar por TikTok y por las recomendaciones de muchas personas que visitaban Buenos Aires, y tenía que probar la famosa fugazzeta. En nuestra primera noche en la ciudad no pudimos comer ahí porque había mucha fila. Al día siguiente volvimos con mi mamá para almorzar y por fin conseguimos mesa para dos.

El lugar es encantador: tradicional, familiar y lleno de historia. Pedimos una porción de pizza cada uno (son grandes y muy generosas). La fugazzeta estaba exquisita: con mucho queso, jamón en el interior y cebolla frita por encima que le da un toque dulce y delicioso. Nos explicaron que es una pizza muy típica de Buenos Aires, y realmente vale la fama que tiene. Por supuesto, la acompañamos con una Coca-Cola, como debe ser.

Nos gustó tanto que volvimos una segunda vez, después de salir de un show de tango en el teatro. Fuimos a cenar nuevamente a Guerrin —que está abierto hasta la madrugada— y la pizza estaba igual de deliciosa. Esta vez nos sentaron en un patio escondido, lleno de gente y con muy buena energía.

En resumen, una experiencia espectacular. ¡Sin duda volvería una y mil veces más!",5.0,5.0,5.0,
Marcio Oicram,,,5,05/11/2025,"Excelente todo. De punta a  punta.
Si te llevan al fondo no pueden pedir por porciones, tengan eso en cuenta.
La parte de atrás es HER MO SA
Un ambiente muy lindo, mucha gente linda hablando y disfrutando el tiempo como quieren, l atención de los mozos impecable, las pizzas te sacian tanto y son tan ricas que vale cada centavo ingresar y disfrutarlo.
Parada obligada si estás por la zona",5.0,5.0,5.0,
Maria Nacusse,,,5,05/11/2025,"Parada obligatoria después del teatro. Había mucha fila para esperar por un mesa así que hice la fila más corta en la que venden comida al paso, es decir, parado en las distintas barritas que tienen. Pones la orden, te dan tu comida, y buscas donde apoyarte a comer. Quisiera resaltar que como es comida al paso el menú es limitado. Si no queres una pizza completa podes también ordenar por porción. La pizza estaba rica, la empanada era de carne y considero que no vale la pena (no estaba mala, pero tampoco riquísima).",5.0,4.0,4.0,
Debbie Sanchez,,,4,05/11/2025,"Pizzería emblemática de Buenos Aires, vale la pena visitarla para conocer algo con mucha historia y tradición. Cuando llegamos había fila para sentarse pero se pasó muy rápido. Se nota que tienen experiencia con servir a un montón de gente porque el proceso para conseguir mesa estuvo bien organizado y eficiente. La atención a cliente también fue buena (aunque un poquito lenta) a pesar de la cantidad de gente que tenían.

Ahora para la comida, pedimos una pizza especialidad de la casa chica, un flan de dulce de leche, cerveza y una copa de vino. Para dos personas con hambre estuvo perfecta la porción. Para mi la pizza estuvo muy rica pero nada fuera de lo normal. Honestamente, no regresaría solo por ella a menos que me quede de paso. El flan igual. Pero la experiencia en el sitio me gustó mucho.",3.0,4.0,5.0,
Ana Oller,,,5,05/11/2025,"Comimos super rico, tienen mucha variedad de pizzas y no te preocupes si hay mucha gente porque te atienden muy bien igual. El lugar es super super amplio y tenes distintos espacios para estar.
Me olvidé la mochila cuando me fui, volví una hora despues y me la guardaron, asique unos tipazos.
Graciaa y voy a volver, la pasamos muy lindo y estuvo todo de 10.",5.0,5.0,5.0,
Eduardo Hernández,,,3,05/11/2025,"A ver, pizzerías hay muchas más opciones en Buenos Aires. ¿Van a ser mejores? Quizá sí. ¿Van a tener la misma calidad histórica? Quizá no. Sáltate este lugar si puedes, hay mucha fila a veces, es ruidoso, las mesas están una encima de la otra. Ahhhh, eso sí, la pizza es exquisita. O también está la opción de pedir la porción y comer de pie. El lugar se adapta a ti.",4.0,3.0,2.0,
Agustin Nicolas,,,5,05/11/2025,"El lugar es enorme! Tiene distintos salones. Nosotros cenamos en el salón “presidencial” donde solo se podía ordenar pizzas grandes. En el resto de los salones si. Curioso, ya que no me pareció muy distinto a los demás salones.
La pizza es excelente, sin dudas! Tienen muchísimas variedades y van desde los $30.000 a los $80.000 las pizzas grandes (23/9/2025). Es la segunda vez que voy en el año y la recomiendo.
Las bebidas solo se sirven de 500ml excepto por la cerveza.
El lugar a pesar de ser GIGANTE, se llena mucho. Nosotros fuimos un Martes a las 21:00 hs y estaba casi lleno. Otros días estoy seguro que se forma fila y espera.",5.0,5.0,5.0,
Nadia Domínguez,,,3,05/11/2025,"Fuimos por recomendación de una persona Argentina ya que somos de España de vacaciones en Buenos Aires.
Comimos pizza Fugazzetta de jamón y cebolla, y tengo que decir que no nos gustó muy gorda mucha mozzarella y está fría, también comimos una empanada de carne y otra de pollo eso estaba mejor bien de relleno.
El sitio es muy grande aunque las mesas estas casi unas pegadas con otras pero mucho sitio ya que son dos locales conectados.
Las porciones enormes con una pizza chica yo creo que comen tres personas.
Yo no lo recomendaría.",2.0,4.0,4.0,
Sabrina Cipriotto,,,5,05/11/2025,"Sí existiesen 10 estrellas se las llevarían todas. Emblemático lugar en Buenos Aires. No sólo increíble las pizzas y empanadas, sino también excelente atención de todos, lo cual sumo muchísimo a la experiencia... Marcos, el director del lugar se acercó a la mesa y tuvo una buenísima atención obsequiando nos unas remeras, realmente se pasaron. Ah, y ni hablar del mousse de chocolate, no veo la hora de volver.
Necesitamos una sucursal en Californiaaaaaaa",5.0,5.0,5.0,
Silvina H,,,5,05/11/2025,"Es un diez. La pizza es sublime. El servicio es muy bueno, nos ofrecieron una entrada y nos despidieron con pan dulce. El ambiente es único, mucho detalle para ver. El precio.... acorde a lo que ofrecen, es toda una experiencia. No tiene fisura.",5.0,5.0,5.0,
