Nombre,Número de reseñas,Número de fotos,Puntuación,Fecha,Comentario,Comida,Servicio,Ambiente,Platos recomendados
Valentin Ceneri,,,5,justo ahora,Increíble!!,5,5,5,
Adonai Faagutu,,,5,11/11/2025,Antonella y Leo,5,5,5,
Anita Quintana,,,5,11/11/2025,"Claudia, Nerea y Beto nos dieron la mejor atención del mundo!",5,5,2,
Andrea Reyes,,,5,11/11/2025,Nadia y mariano un exitooo 👌🏼🥹,5,5,5,
Candela Malen Studnitz,,,5,11/11/2025,Nadia y mariano unos genios🙌🏼🙌🏼🙌🏼,5,5,5,
Lautaro Sosa,,,5,11/11/2025,"Excelente atención, comida y todo!!!
En especial de Claudia, Nerea y Beto!!",5,5,5,
Carlos David Calderón,,,5,11/11/2025,"Pizza clásica, Claudia, Nerea y Beto son unos cracks",5,5,5,
Samuel Serfaty,,,5,11/11/2025,"La comida 10/10, literal increíble, el servicio y atención también, lo único malo es que el lugar es muy ruidoso pero todo lo demás lo compensa",5,5,5,
Sofia Vargas,,,5,11/11/2025,¡Beto crack!,5,5,4,
Aby Occhiuzzi,,,5,11/11/2025,Muy buena atención de ivana y beto. El lugar está muy bien ambientado. La fuga rellena muy buena. A las muzza le faltaba un poco mas de queso para mi gusto.,5,4,3,
Guillermo Diaz,,,5,11/11/2025,Con personas como Ivana y Beto es un placer venir a comer acá!!,5,5,5,
Javier Berardo,,,4,11/11/2025,Excelente atención de Ivana y beto,4,5,5,
Diego Anibal Zambrano Montero,,,5,11/11/2025,Excelente! Nos atendió Nerea,5,5,5,
Benjamin Barraguirre,,,5,11/11/2025,Claudia nos atendió super bien y rápido!!!!,5,5,5,
Ignacio Berardo,,,5,11/11/2025,Me atendió Nerea y todo espectacular y de diez!,4,5,5,
Ronald Méndez,,,5,11/11/2025,"Hermoso lugar y atención.
Nacho y claudia son unos genios, super amables",4,5,4,
Valessa Gómez-Martínez,,,5,11/11/2025,"Buena experiencia
Bien atendido por franco y trinidad",5,5,5,
Enrique David Marcano Pacheco,,,5,11/11/2025,Excelente atención y servicio de Nadia y Lautaro… Saludos desde Tucumán y Salta . Familia Restivo Sillero,4,5,4,
BookedTM,,,4,11/11/2025,"Gracias a Nadia y Lautaro, excelente servicio",5,3,3,
Jimena Moyano,,,5,11/11/2025,"como siempre un 10, excelente atención de luca y paola 🫶🏻
excelente nico g  y antonella!",5,5,5,
Juan Andrades,,,5,11/11/2025,"agustin y antonella
nico g y antonella",5,5,5,
Rodrigo Pérez Aranciba,,,5,11/11/2025,Nadie y Gabriel,5,5,5,
Roman Scovenna,,,5,11/11/2025,Recomendadas las pizzas. Todo el personal fue muy amable.,5,5,3,
